Rank,Country,Country Code,Gold,Silver,Bronze,Total,Continent
1,United States,US,40,44,42,126,North America
2,China,CHN,40,27,24,91,Asia
3,Japan,JPN,20,12,13,45,Asia
4,Australia,AUS,18,19,16,53,Oceania
5,France,FRA,16,26,22,64,Europe
6,Netherlands,NED,15,7,12,34,Europe
7,United Kingdom,GBG,14,22,29,65,Europe
8,South Korea,KOR,13,9,10,32,Asia
9,Italy,ITA,12,13,15,40,Europe
10,Germany,GER,12,13,8,33,Europe
11,New Zealand,NZ,10,7,3,20,Oceania
12,Canada,CAN,9,7,11,27,North America
13,Uzbekistan,UZB,8,2,3,13,Asia
14,Hungary,HUN,6,7,6,19,Europe
15,Spain,SPA,5,4,9,18,Europe
16,Sweden,SWE,4,4,3,11,Europe
17,Kenya,KEN,4,2,5,11,Africa
18,Norway,NOR,4,1,3,8,Europe
19,Ireland,IRE,4,0,3,7,Europe
20,Brazil,BRZ,3,7,10,20,South America
21,Iran,IRN,3,6,3,12,Asia
22,Ukraine,UKR,3,5,4,12,Europe
23,Romania,ROM,3,4,2,9,Europe
24,Georgia,GEO,3,3,1,7,Europe
25,Belgium,BEL,3,1,6,10,Europe
26,Bulgaria,BUL,3,1,3,7,Europe
27,Serbia,SER,3,1,1,5,Europe
28,Czech Republic,CZE,3,0,2,5,Europe
29,Denmark,DEN,2,2,5,9,Europe
30,Azerbaijan,AZE,2,2,3,7,Asia
30,Croatia,CRO,2,2,3,7,Europe
32,Cuba,CUB,2,1,6,9,North America
33,Bahrain,BHR,2,1,1,4,Asia
34,Slovenia,SLO,2,1,0,3,Europe
35,Chinese Taipei,TPE,2,0,5,7,Asia
36,Austria,AUT,2,0,3,5,Europe
37,Hong Kong,HK,2,0,2,4,Asia
37,Philippines,PHI,2,0,2,4,Asia
39,Algeria,ALG,2,0,1,3,Africa
39,Indonesia,IDN,2,0,1,3,Asia
41,Israel,ISR,1,5,1,7,Asia
42,Poland,POL,1,4,5,10,Europe
43,Kazakhstan,KAZ,1,3,3,7,Asia
44,Jamaica,JAM,1,3,2,6,North America
44,South Africa,SA,1,3,2,6,Africa
44,Thailand,THA,1,3,2,6,Asia
47,Ethiopia,ETH,1,3,0,4,Africa
48,Switzerland,SWI,1,2,5,8,Europe
49,Ecuador,ECU,1,2,2,5,South America
50,Portugal,POR,1,2,1,4,Europe
51,Greece,GRE,1,1,6,8,Europe
52,Argentina,ARG,1,1,1,3,South America
52,Egypt,EGY,1,1,1,3,Africa
52,Tunisia,TUN,1,1,1,3,Africa
55,Botswana,BOT,1,1,0,2,Africa
55,Chile,CHI,1,1,0,2,South America
55,St Lucia,LCA,1,1,0,2,North America
55,Uganda,UGA,1,1,0,2,Africa
59,Dominican Republic,DOM,1,0,2,3,North America
60,Guatemala,GUA,1,0,1,2,North America
60,Morocco,MOR,1,0,1,2,Africa
62,Dominica,DMA,1,0,0,1,North America
62,Pakistan,PKN,1,0,0,1,Asia
64,Turkey,TUR,0,3,5,8,Asia
65,Mexico,MEX,0,3,2,5,North America
66,Armenia,ARM,0,3,1,4,Asia
66,Colombia,COL,0,3,1,4,South America
68,North Korea,PRK,0,2,4,6,Asia
68,Kyrgyzstan,KGZ,0,2,4,6,Asia
70,Lithuania,LTU,0,2,2,4,Europe
71,India,IND,0,1,5,6,Asia
72,Moldova,MDA,0,1,3,4,Europe
73,Kosovo,KOS,0,1,1,2,Europe
74,Cyprus,CYP,0,1,0,1,Europe
74,Fiji,FIJ,0,1,0,1,Oceania
74,Jordan,JOR,0,1,0,1,Asia
74,Mongolia,MGL,0,1,0,1,Asia
74,Panama,PAN,0,1,0,1,North America
79,Tajikistan,TJK,0,0,3,3,Asia
80,Albania,ALB,0,0,2,2,Europe
80,Grenada,GRN,0,0,2,2,North America
80,Malaysia,MAS,0,0,2,2,Asia
80,Puerto Rico,PUR,0,0,2,2,North America
84,Cape Verde,CPV,0,0,1,1,Africa
84,Cote d'Ivoire,CIV,0,0,1,1,Africa
84,Peru,PER,0,0,1,1,South America
84,Qatar,QAT,0,0,1,1,Asia
84,Singapore,SIN,0,0,1,1,Asia
84,Slovakia,SVK,0,0,1,1,Europe
84,Zambia,ZAM,0,0,1,1,Africa
